classNbr,subj,crs,courseTitle,sbc,cmp,sctn,credits,day,startTime,endTime,past_instructors,recent_two_instructors,most_recent_instructor,avgGrade,likes,location,id,semesters
"95396, 56196, 92222/97191, 52116/52352",AMS,210,Applied Linear Algebra,STEM+,LEC,"90/91, 90/91, 90/91, 90/91",3,"MW/TUTH, MW, MW/TUTH, MW","5:00 PM, 5:00 PM, 5:00 PM, 10:30 AM/5:00 PM","6:20 PM, 6:20 PM, 6:20 PM, 11:50 AM/6:20 PM",{},{},?,0,0,"{C103/B203, B203, C107/C105, C105/B203}",6436c2637efba14cf3f8ffdd,?
"95399, 92225, 52123",AMS,301,Finite Mathematical Structures,STEM+,LEC,90,3,"MW, MW, MW, MW","5:00 PM, 5:00 PM, 5:00 PM, 9:00 AM","6:20 PM, 6:20 PM, 6:20 PM, 10:20 AM",{},{},?,0,0,"{B103, B207, C103, B105}",6436c2637efba14cf3f8ffe0,?
"95588, 92354",AMS,394,Statistical Laboratory,CER; ESI; EXP+,"LAB, LEC","L90, 90",3,"TUTH, TUTH","10:30 AM, 10:30 AM","11:50 AM, 11:50 AM",{},{},?,0,0,"{A115, A313}",6436c2647efba14cf3f8ffe6,?
?,AMS,487,Research in Applied Mathematic,EXP+; WRTD,TUT,?,0 to 3,"APPT, APPT, APPT, APPT","-, -, -, -","-, -, -, -",{},{},?,0,0,"{-, -, -, -}",6436c2647efba14cf3f8ffec,?
54845,AMS,570,Introduction to Mathematical Statistics,NaN,LEC,90,3,MW,2:00 PM,3:20 PM,{},{},?,0,0,{A312},6436c2a13023723180f7eb73,?
54847,AMS,578,Regression Theory,NaN,LEC,90,3,TUTH,5:00 PM,6:20 PM,{},{},?,0,0,{B314},6436c2a13023723180f7eb76,?
"95627, ?, 92857, 52630",BUS,326,Organizational Behavior,DIV,LEC,90,3,"TUTH, TUTH, TUTH, TUTH","5:00 PM, 5:00 PM, 5:00 PM, 5:00 PM","6:20 PM, 6:20 PM, 6:20 PM, 6:20 PM",{},{},?,0,0,"{B103, B204, B204, B204}",6436c2657efba14cf3f8ffff,?
96396,BUS,348,Principles of Marketing (major & non-major),NaN,LEC,91,3,MW,10:30 AM,11:50 AM,{},{},?,0,0,{B207},6436c2657efba14cf3f90005,?
"95671, ?, 92865, 52628",BUS,365,Financial Management,ESI,LEC,90,3,"MW, MW, TUTH, TUTH","10:30 AM, 9:00 AM, 2:00 PM, 2:00 PM","11:50 AM, 10:20 AM, 3:20 PM, 3:20 PM",{},{},?,0,0,"{B313, B205, A117, B314}",6436c2657efba14cf3f9000a,?
"95610, 54852, 92856, 52632",BUS,447,Business Ethics,CER,LEC,"T90, 90, 90, 90",3,"TH, TH, TH, TH","10:30 AM, 10:30 AM, 10:30 AM, 10:30 AM","1:20 PM, 1:20 PM, 1:20 PM, 1:20 PM",{},{},?,0,0,"{A116, A116, C103, C107}",6436c2657efba14cf3f9000c,?
"95446, ?, 92846, 52625",BUS,488,Internship,EXP+,TUT,T90,0 to 3,"APPT, APPT, APPT, APPT","-, -, -, -","-, -, -, -",{},{},?,0,0,"{-, -, -, -}",6436c2657efba14cf3f90015,?
54731,AMS,303,Graph Theory,NaN,LEC,90,3,MW,10:30 AM,11:50 AM,{},{},?,0,0,{B204},6436c2a13023723180f7eb6d,?
"54684, 52120",AMS,315,Data Analysis,"CER, ESI",LEC,90,3,"MW, MW","3:30 PM, 10:30 AM","4:50 PM, 11:50 AM",{},{},?,0,0,"{A312, B313}",6436c2a13023723180f7eb6f,?
"95401(95402), 92227(92228)",AMS,361,Applied Calculus IV: Differential Equations,STEM+,LEC(REC),90(R90),4,"MW(RECF), TUTH(RECTU)","2:00 PM(10:30 AM), 3:30 PM(5:00 PM)","3:20 PM(11:25 AM), 4:50 PM(5:55 PM)",{},{},?,0,0,"{A312, A312}",6436c2637efba14cf3f8ffe4,?
"56229, 52370",AMS,380,Data Mining,NaN,LEC,90,3,"TUTH, TUTH","2:00 PM, 2:00 PM","3:20 PM, 3:20 PM",{},{},?,0,0,"{B313, B313}",6436c2a13023723180f7eb71,?
"95630(95631), 56494(56493)",AMS,510,Analytical Methods for AMS,NaN,"LEC(REC), LEC(REC)","90(R90), 90(R90)",3,"TUTH(RETH), MW(RECTU)","3:30 PM(5:00 PM), 5:00 PM(10:30 AM)","4:50 PM(5:55 PM), 6:20 PM(11:25 AM)",{},{},?,0,0,"{B206, A724(A314)}",6436c2647efba14cf3f8fff3,?
95620,AMS,599,Research,NaN,TUT,T90,3,APPT,-,-,{},{},?,0,0,{-},6436c2647efba14cf3f8fff6,?
"95444, 54598/54842, 92844/92858, 52619/52629",ACC,210,Financial Accounting,NaN,LEC,"90, 90/91, 90/91, 90/91",3,"TUTH, TUTH/F, TUTH, TUTH","2:00 PM, 2:00 PM/9:00 AM, 2:00 PM/10:30 AM, 2:00 PM/10:30 AM","3:20 PM, 3:20 PM/11:50 AM, 3:20 PM/11:50 AM, 3:20 PM/11:50 AM",{},{},?,0,0,"{B204, B205/B103, B103/B207, B205/B103}",6436c2647efba14cf3f8fff8,?
"96498, ?, 92877, 56514",ACC,214,Managerial Cost Analysis and Applications,NaN,LEC,90,3,"F, F, F, MW","9:00 AM, 9:00 AM, 9:00 AM, 10:30 AM","11:50 AM, 11:50 AM, 11:50 AM, 11:50 AM",{},{},?,0,0,"{B204, B204, B103, B206}",6436c2647efba14cf3f8fffa,?
"95445, 92845, 52618",BUS,215,Intro to Business Statistics,NaN,LEC,90,3,"MW, MW, MW, MW","3:30 PM, 3:30 PM, 3:30 PM, 3:30 PM","4:50 PM, 4:50 PM, 4:50 PM, 4:50 PM",{},{},?,0,0,"{B103, B105, B203, B105}",6436c2647efba14cf3f8fffc,?
"96314, 92873",BUS,340,Information Systems in Management,TECH,LEC,90,3,"MW, MW","10:30 AM, 10:30 AM","11:50 AM, 11:50 AM",{},{},?,0,0,"{A312, A724}",6436c2657efba14cf3f90002,?
"96335, ?, 92874, 52674",BUS,355,Investment Analysis,NaN,LEC,90,3,"TUTH, TUTH, TUTH, TUTH","9:00 AM, 9:00 AM, 9:00 AM, 9:00 AM","10:20 AM, 10:20 AM, 10:20 AM, 10:20 AM",{},{},?,0,0,"{B204, B203, B205, B205}",6436c2657efba14cf3f90007,?
"54853, 52633",BUS,448,Marketing Strategy,NaN,LEC,90,3,"MW, MW","10:30 AM, 10:30 AM","11:50 AM, 11:50 AM",{},{},?,0,0,"{B314, B314}",6436c2a23023723180f7eb81,?
"95403(95404), 54649(54650), 92229(92230), 52088(52089)",CSE,101,Computer Science Principles,TECH,"LEC(LAB), LEC(LAB), LEC(LAB), LEC(LAB)","90(L90), 90(L90), 90(L90), 90(L90)",3,"TUTH(M), TUTH(W), TUTH(M), TUTH(W)","10:30 AM(10:30 AM), 2:00 PM(2:00 PM), 10:30 AM(12:30 PM), 2:00 PM(3:30 PM)","11:50 AM(11:50 AM), 3:20 PM(3:20 PM), 11:50 AM(1:50 PM), 3:20 PM(4:50 PM)",{},{},?,0,0,"{C107, C107, C105, C105}",6436c2667efba14cf3f90017,?
"96950, 56458",AMS,104,Spreadsheet Technology and Applications,"QPS, TECH",LEC,90,3,"TUTH, MW","2:00 PM, 2:00 PM","3:20 PM, 3:20 PM",{},{},?,0,0,"{C107, B105}",6589dbd1bfe63b109c100ab0,?
"95394, 54843, 92220/97188, 52114/52213",AMS,151,Applied Calculus I,QPS,LEC,"90/91, 90/91, 90/92, 90/91",3,"MW/TUTH, MW, MW/TUTH, MW/TUTH","3:30 PM, 3:30 PM, 3:30 PM, 2:00 PM/3:30 PM","4:50 PM, 4:50 PM, 4:50 PM, 3:20 PM/4:50 PM",{},{},?,0,0,"{C103/B207, C107, C103, A211/C107}",6436c2637efba14cf3f8ffda,?
"95395, 95656, 92221/92383, 52115/52214",AMS,161,Applied Calculus II,QPS,LEC,"90/91, 90/91, 90/91, 90/91",3,"MW/TUTH, MW/TUTH, MW/TUTH, MW/TUTH","3:30 PM, 3:30 PM, 3:30 PM, 3:30 PM","4:50 PM, 4:50 PM, 4:50 PM, 4:50 PM",{},{},?,0,0,"{C107, C103/B105, C105, C103}",6436c2637efba14cf3f8ffdb,?
"54681(54682),95397(95398), 92223(92224), 52117(52118)",AMS,261,Applied Calculus III,STEM+,"LEC(REC), LEC(REC), LEC(REC), LEC(REC)","90(R90), 90(R90), 90(R90), 90(R90)",4,"MW(RECM), MW(RECM), MW(RECM), MW(RECM)","3:30 PM(12:30 PM), 3:30 PM(12:30 PM), 3:30 PM(12:30 PM), 3:30 PM(12:30 PM)","4:50 PM(1:25 PM), 4:50 PM(1:25 PM), 4:50 PM(1:25 PM), 4:50 PM(1:25 PM)",{},{},?,0,0,"{B204, B204, A704, A211}",6436c2637efba14cf3f8ffde,?
"95400, ?, 92226, 52141",AMS,310,Survey of Probability and Statistics,STEM+,LEC,90,3,"MW, MW, MW, TUTH","10:30 AM, 9:00 AM, 10:30 AM, 9:00 AM","11:50 AM, 10:20 AM, 11:50 AM, 10:20 AM",{},{},?,0,0,"{B203, B203, B207, C103}",6436c2637efba14cf3f8ffe1,?
"54683, 52119",AMS,311,Probability Theory,NaN,LEC,90,3,"MW, TUTH","9:00 AM, 12:30 PM","10:20 AM, 1:50 PM",{},{},?,0,0,"{B103, B313}",6436c2a13023723180f7eb6e,?
97233(97235),AMS,351,Applied Algebra,NaN,LEC(REC),90(R90),3,TUTH(RECTH),12:30 PM(2:00 PM),1:50 PM(2:55 PM),{},{},?,0,0,{A704},658a8aabbfe63b109c100ab2,?
"95509, ?, 92300, 52121",AMS,475,Undergrad Teachng Practicum,EXP+; SPK,TUT,T90,3,"APPT, APPT, APPT, APPT","-, -, -, -","-, -, -, -",{},{},?,0,0,"{-, -, -, -}",6436c2647efba14cf3f8ffe8,?
"95517, ?, 92305, 52165",AMS,476,Undergrad Teaching Practicum,EXP+; SPK,TUT,T90,3,"APPT, APPT, APPT, APPT","-, -, -, -","-, -, -, -",{},{},?,0,0,"{-, -, -, -}",6436c2647efba14cf3f8ffe9,?
"95629(95628), 92369(92370)",AMS,507,Introduction to Probability,NaN,"LEC(REC), LEC(REC)","90(R90), 90(R90)",3,"TUTH(REM), TUTH(RECTU)","2:00 PM(1:00 PM), 9:00 PM(3:30 PM)","3:20 PM(1:55 PM), 10:20 PM(4:25 PM)",{},{},?,0,0,"{A312, A704}",6436c2647efba14cf3f8fff0,?
"95619, 56465",AMS,572,Data Analysis I,NaN,LEC,90,3,"TUTH, TUTH","9:00 AM, 3:30 PM","10:20 AM, 4:50 PM",{},{},?,0,0,"{A116, B104}",6436c2647efba14cf3f8fff4,?
56197,AMS,577,Multivariate Analysis,NaN,LEC,90,3,MW,9:00 AM,10:20 AM,{},{},?,0,0,{B313},6436c2a13023723180f7eb75,?
95637,ACC,210,Financial Accounting (major & non-major),NaN,LEC,91,3,F,9:00 AM,11:50 AM,{},{},?,0,0,{B103},6436c2647efba14cf3f8fff9,?
56199,BUS,302,Social Media Marketing Strategy,NaN,LEC,90,3,MW,3:30 PM,4:50 PM,{},{},?,0,0,{B313},6436c2a23023723180f7eb7a,?
"95451, 54733/56320, 96965, 52622/56515",BUS,330,Principles of Finance,NaN,LEC,"90, 90/91, 91, 90/91",3,"TUTH, TUTH, TUTH, TUTH","10:30 AM, 10:30 AM/2:00 PM, 2:00 PM, 10:30 AM/2:00 PM","11:50 AM, 11:50 AM/3:20 PM, 3:20 PM, 11:50 AM/3:20 PM",{},{},?,0,0,"{B105, B203/B204, B204, B105/B204}",6436c2657efba14cf3f90000,?
"96313, 92872, 57031",BUS,334,Integrated Mktg Communications,NaN,LEC,90,3,"MW, MW, MW","2:00 PM, 2:00 PM, 3:30 PM","3:20 PM, 3:20 PM, 4:50 PM",{},{},?,0,0,"{B203, B204, B205}",6436c2657efba14cf3f90001,?
"95452, 54734/56200, 92848/92875, 52623/52673",BUS,348,Principles of Marketing,NaN,LEC,"90, 90/91, 90/91, 90/91",3,"MW, MW, MW, MW","2:00 PM, 2:00 PM/10:30 AM, 5:00 PM/10:30 AM, 2:00 PM/10:30 AM","3:20 PM, 3:20 PM/11:50 AM, 6:20 PM/11:50 AM, 3:20 PM/11:50 AM",{},{},?,0,0,"{C107, B205/C103, B204, B103/B105}",6436c2657efba14cf3f90004,?
"95609, ?, 92855, 52626",BUS,353,Entrepreneurship,NaN,LEC,90,3,"TUTH, TUTH, TUTH, TUTH","3:30 PM, 3:30 PM, 3:30 PM, 3:30 PM","4:50 PM, 4:50 PM, 4:50 PM, 4:50 PM",{},{},?,0,0,"{B103, B204, B314, A704}",6436c2657efba14cf3f90006,?
"95638, 92859",BUS,358,Marketing Research,ESI,LEC,90,3,"MW, MW","3:30 PM, 3:30 PM","4:50 PM, 4:50 PM",{},{},?,0,0,"{B207, A211}",6436c2657efba14cf3f90008,?
"95642, ?, 92861, 52631",BUS,359,Consumer Behavior,NaN,LEC,90,3,"TU, TU, TU, TU","2:00 PM, 2:00 PM, 2:00 PM, 2:00 PM","4:50 PM, 4:50 PM, 4:50 PM, 4:50 PM",{},{},?,0,0,"{A114, A114, A211, A724}",6436c2657efba14cf3f90009,?
"56203, 52676",BUS,363,Brand Management,NaN,LEC,90,3,"MW, MW","2:00 PM, 2:00 PM","3:20 PM, 3:20 PM",{},{},?,0,0,"{B204, B204}",6436c2a23023723180f7eb7e,?
"95407(95408), 54653(54654), 92233(92234), 52092(52093)",CSE,214,Data Structures,NaN,"LEC(REC), LEC(REC), LEC(REC), LEC(REC)","90(R90), 90(R90), 90(R90), 90(R90)",4,"TUTH(RECW), TUTH(RECW), TUTH(RECW), TUTH(RECW)","2:00 PM(2:00 PM), 10:30 AM(2:00 PM), 10:30 AM(10:30 AM), 10:30 AM(2:00 PM)","3:20 PM(2:55 PM), 11:50 AM(2:55 PM), 11:50 AM(11:25 AM), 11:50 AM(2:55 PM)",{},{},?,0,0,"{C105(C105), C105(C106), B103(B103), C103(C107)}",6436c2667efba14cf3f9001b,?
"95562, 92336",AMS,317,Introduction to Linear Regression Analysis,NaN,LEC,90,3,"MW, MW","2:00 PM, 2:00 PM","3:20 PM, 3:20 PM",{},{},?,0,0,"{A117, B207}",6436c2637efba14cf3f8ffe2,?
"95587, 56459",AMS,318,Financial Mathematics,WRTD,LEC,90,3,"TUTH, TUTH","5:00 PM, 9:00 AM","6:20 PM, 10:20 AM",{},{},?,0,0,"{B205, B103}",6436c2637efba14cf3f8ffe3,?
"54821, 52200",AMS,326,Numerical Analysis,NaN,LEC,90,3,"MW, TUTH","2:00 PM, 5:00 PM","3:20 PM, 6:20 PM",{},{},?,0,0,"{B103, A116}",6436c2a13023723180f7eb70,?
"95618, 92363",AMS,412,Mathematical Statistics,CER; ESI; EXP+,LEC,90,3,"MW, MW","3:30 PM, 3:30 PM","4:50 PM, 4:50 PM",{},{},?,0,0,"{B206, B206}",6436c2647efba14cf3f8ffe7,?
54846,AMS,573,Categorical Data Analysis,NaN,LEC,90,3,MW,10:30 AM,11:50 AM,{},{},?,0,0,{A312},6436c2a13023723180f7eb74,?
"95657, 56467",AMS,597,Statistical Computing,NaN,"LAB, LEC","L90, 90",3,"MW, MW","10:30 AM, 3:30 PM","11:50 AM, 4:50 PM",{},{},?,0,0,"{B314, A702}",6436c2647efba14cf3f8fff5,?
"96497, ?, 52671",ACC,310,Intermediate Accounting I,NaN,LEC,90,3,"W, W, MW","9:00 AM, 9:00 AM, 2:00 PM","11:50 AM, 11:50 AM, 3:20 PM",{},{},?,0,0,"{A724, A704, B205}",6436c2647efba14cf3f8fffb,?
"95495, 54732, 92850, 52621",BUS,220,Intro to Decision Sciences,STEM+,LEC,"91, 90, 90, 90",3,"MW, MW, MW, MW","10:30 AM, 10:30 AM, 5:00 PM, 10:30 AM","11:50 AM, 11:50 AM, 6:20 PM, 11:50 AM",{},{},?,0,0,"{B105, B105, B103, B103}",6436c2647efba14cf3f8fffd,?
95641,BUS,301,Business Communications,SPK; WRTD,LEC,90,3,W,2:00 PM,4:50 PM,{},{},?,0,0,{A211},6436c2657efba14cf3f8fffe,?
"56321, 56516",BUS,331,International Finance,NaN,LEC,90,3,"TUTH, TUTH","10:30 AM, 10:30 AM","11:50 AM, 11:50 AM",{},{},?,0,0,"{B204, B204}",6436c2a23023723180f7eb7c,?
"95519, ?, 92851, 52624",BUS,346,Operations Management,NaN,LEC,90,3,"MW, MW, MW, MW","3:30 PM, 3:30 PM, 3:30 PM, 3:30 PM","4:50 PM, 4:50 PM, 4:50 PM, 4:50 PM",{},{},?,0,0,"{B105, B103, B103, B103}",6436c2657efba14cf3f90003,?
"95677, 92866",BUS,366,Money and Financial Inst.,NaN,LEC,90,3,"TU, TUTH","10:30 AM, 10:30 AM","1:20 PM, 11:50 AM",{},{},?,0,0,"{A116, A211}",6436c2657efba14cf3f9000b,?
"56230, 52677",BUS,375,Data Mining,NaN,LEC,90,3,"MW, MW","2:00 PM, 2:00 PM","3:20 PM, 3:20 PM",{},{},?,0,0,"{B314, B314}",6436c2a23023723180f7eb7f,?
?,BUS,475,Undergrad Teachng Practicum I,EXP+,TUT,?,3,"APPT, APPT, APPT, APPT","-, -, -, -","-, -, -, -",{},{},?,0,0,"{-, -, -, -}",6436c2657efba14cf3f9000d,?
?,BUS,476,Undergrad Teachng Practicum II,EXP+,TUT,?,3,"APPT, APPT, APPT","-, -, -","-, -, -",{},{},?,0,0,"{-, -, -}",6436c2a23023723180f7eb84,?
"95405(95406), 54651(54652), 92231(92232), 52090(52091)",CSE,114,Intro to Object-Oriented Prog,TECH,"LEC(LAB), LEC(LAB), LEC(LAB), LEC(LAB)","90(L90), 90(L90), 90(L90), 90(L90)",4,"MW(TUTH), MW(TUTH), MW(TUTH), MW(TUTH)","10:30 AM(2:00 PM), 2:00 PM(2:00 PM), 2:00 PM(2:00 PM), 2:00 PM(2:00 PM)","11:50 AM(3:20 PM), 3:20 PM(3:20 PM), 3:20 PM(3:20 PM), 3:20 PM(3:20 PM)",{},{},?,0,0,"{C103, C105, C105, C103}",6436c2667efba14cf3f90019,?
"95409(95410), 54655(54656), 92235(92236), 52094(52095)",CSE,215,Foundations of Comp Science,NaN,"LEC(REC), LEC(REC), LEC(REC), LEC(REC)","90(R90), 90(R90), 90(R90), 90(R90)",4,"TUTH(RECW), MW(RECW), TUTH(RECTU), MW(RECM)","12:30 PM(3:30 PM), 10:30 AM(5:00 PM), 12:30 PM(3:30 PM), 9:00 AM(12:30 PM)","1:50 PM(4:25 PM), 11:50 AM(5:55 PM), 1:50 PM(4:25 PM), 10:20 AM(1:25 PM)",{},{},?,0,0,"{B204(B203), C105(C105), B207(B207), C107(C107)}",6436c2667efba14cf3f9001d,?
"95570(95571), 54785(54786), 92239(92340), 52175(52176)",CSE,216,Programming Abstractions,NaN,"LEC(REC), LEC(REC), LEC(REC), LEC(REC)","90(R90), 90(R90), 90(R90), 90(R90)",4,"TUTH(RECW), MW(RECW), TUTH(RECTH), TUTH(RECW)","5:00 PM(2:00 PM), 2:00 PM(3:30 PM), 9:00 AM(2:00 PM), 10:30 AM(2:00 PM)","6:20 PM(2:55 PM), 3:20 PM(4:25 PM), 10:20 AM(2:55 PM), 11:50 AM(2:55 PM)",{},{},?,0,0,"{B203(A704), B203(B203), B203(B203), B203(B203)}",6436c2667efba14cf3f9001f,?
"95442, 92268, 56522",CSE,310,Computer Networks,NaN,LEC,90,3,"MW, TUTH, MW","10:30 AM, 10:30 AM, 3:30 PM","11:50 AM, 11:50 AM, 4:50 PM",{},{},?,0,0,"{A704, B204, B204}",6436c2667efba14cf3f90025,?
"54742, 52149",CSE,312,"Legal, Social, and Ethical Issues in Information Systems","CER, ESI, STAS",LEC,90,3,"MW, MW","10:30 AM, 10:30 AM","11:50 AM, 11:50 AM",{},{},?,0,0,"{B205, B205}",6436c2a33023723180f7eb89,?
"95543, ?, 92321, 52104",CSE,320,Systems Fundamentals II,NaN,LEC,90,3,"TUTH, TUTH, TUTH, TUTH","12:30 PM, 10:30 AM, 12:30 PM, 12:30 PM","1:50 PM, 11:50 AM, 1:50 PM, 1:50 PM",{},{},?,0,0,"{B103, B205, B205, B205}",6436c2667efba14cf3f90027,?
"96333, 56523",CSE,331,Computer Security Fundamentals,NaN,LEC,90,3,"TUTH, TUTH","10:30 AM, 10:30 AM","11:50 AM, 11:50 AM",{},{},?,0,0,"{B204, B207}",6436c2667efba14cf3f90028,?
"95467, 92281, 56524",CSE,352,Artificial Intelligence,NaN,LEC,90,3,"MW, TUTH, MW","2:00 PM, 2:00 PM, 2:00 PM","3:20 PM, 3:20 PM, 3:20 PM",{},{},?,0,0,"{B314, A312, B207}",6436c2667efba14cf3f90029,?
56207,CSE,353,Machine Learning,NaN,LEC,90,3,TUTH,2:00 PM,3:20 PM,{},{},?,0,0,{B207},6436c2a43023723180f7eb8c,?
"95413, 92239",CSE,373,Analysis of Algorithms,NaN,LEC,90,3,"MW, TUTH","9:00 AM, 5:00 PM","10:20 AM, 6:20 PM",{},{},?,0,0,"{B203, B205}",6436c2667efba14cf3f9002a,?
